,ID,Username,Date,Tweet,Hashtags,RT,SA,Float
0,1.2266839990927892e+18,dwiharyanto26,Mon Feb 10 01:47:10 +0000 2020,sandiaga cawapres prabowo farhat prestasinya sih hahahaha prestasinya sandi iya uang memiliki uang pemimpin wowo,jokowi2periode; 2019tetapjokowi; ,0.0,Negatif,0.0440559983253479
0,1.2266839982623212e+18,NurCahyo_404,Mon Feb 10 01:47:10 +0000 2020,insyaallah golongan putih aplg pindah capres,Jokowi2Periode; jokowi2periode; 2019tetapjokowi; ,0.0,Positif,0.9143672585487366
0,1.2266839974653952e+18,PeciPecinta,Mon Feb 10 01:47:10 +0000 2020,gara gara ahok bilang ahoker kecebong kapirkan sialan menyesal pilihanku qulil haq kana murron keputusanku,jokowi2periode; 2019tetapjokowi; ,0.0,Negatif,0.05974966287612915
0,1.2266839801303163e+18,merahputih_id_,Mon Feb 10 01:47:06 +0000 2020,kesempatan jokowi memimpin melanggengkan kekuasaan rangka mengadministrasikan keadilan sosial,Jokowi2Periode; 2019JokowiMaruf; jokowi2periode; 2019tetapjokowi; ,0.0,Negatif,0.09896986186504364
0,1.2266839167418e+18,Zahrazarra1,Mon Feb 10 01:46:51 +0000 2020,dki korban kalian indonesia sampe salam damai,2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMaruf; 2019TetapJokowi; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMaruf; ,0.0,Positif,0.9508618712425232
0,1.2266839139358024e+18,katon_kara,Mon Feb 10 01:46:50 +0000 2020,memilih diterima orang sulit orang memiliki alasan tersendiri orang pilihannya,2019jokowilanjut; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMarufAmin; ,0.0,Positif,0.9383317828178406
0,1.2266839131137638e+18,SosialF,Mon Feb 10 01:46:50 +0000 2020,memilih golongan putih negri jatuh tangan salah kecewa boleh tapi menggadaikan negri tangan durjana dosa tanggung seumur hidup keturunan terima akibatnya,,0.0,Positif,0.9911314845085144
0,1.2266839082273546e+18,SilviiaSandras1,Mon Feb 10 01:46:49 +0000 2020,cinta mengenal seseorang membuatmu tersenyum mengenalnya,2019TetapJokowi; Jokowi2Periode; iwartaid; ,0.0,Positif,0.9206306338310242
0,1.2266839066754662e+18,RahayuShintta,Mon Feb 10 01:46:48 +0000 2020,sosok kh ma ruf orang nu ormas islam terbesar konsisten menjaga keutuhan nkri,2019jokowilanjut; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMarufAmin; ,0.0,Positif,0.9425342679023743
0,1.2266838209607066e+18,FujiHans,Mon Feb 10 01:46:28 +0000 2020,fokus jokowi periode that is the point,2019jokowilanjut; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMarufAmin; ,0.0,Positif,0.9935677647590637
0,1.2266765024496845e+18,dwiharyanto26,Mon Feb 10 01:17:23 +0000 2020,salam periode,2019PilihankuJokowiMaruf; Jokowi2Periode; jokowi2periode; 2019tetapjokowi; ,0.0,Positif,0.9868510365486145
0,1.2266764309577646e+18,Zahrazarra1,Mon Feb 10 01:17:06 +0000 2020,mendukung kubu sebelah iya silahkan sj itu hak anda,2019TetapJokowi; ,0.0,Positif,0.9140076041221619
0,1.226676422304944e+18,SilviiaSandras1,Mon Feb 10 01:17:04 +0000 2020,cinta bahagia cinta penyebab air mata jalan bahagia,2019TetapJokowi; Jokowi2Periode; iwartaid; ,0.0,Positif,0.9725478887557983
0,1.226668883894911e+18,merahputih_id_,Mon Feb 10 00:47:06 +0000 2020,dukungan jokowi ma ruf amin mengalir masyarakat menyambut optimis jokowi priode masyarakat pedagang pasar pringan deklarasi dukung jokowi ayoo semangat sobat,Jokowi2Periode; JokowiMaruf2019; jokowi2periode; 2019tetapjokowi; ,0.0,Positif,0.8581859469413757
0,1.2266688118535168e+18,Zahrazarra1,Mon Feb 10 00:46:49 +0000 2020,musuh jokowi serang jokowi cawapresnya dukung lawan jokowi diserang mereka calonkan jokowi jadikan jokowi presiden dukung pilih dia as simple as that,Jokowi2Periode; 2019TetapJokowi; ,0.0,Positif,0.9906187653541565
0,1.2266688033393009e+18,SilviiaSandras1,Mon Feb 10 00:46:47 +0000 2020,bebaskan hati memiliki titipan terpenting orang dititipi tuhan,2019TetapJokowi; Jokowi2Periode; iwartaid; ,0.0,Negatif,0.15646971762180328
0,1.2266688018123858e+18,RahayuShintta,Mon Feb 10 00:46:47 +0000 2020,cawapres intinya jokowi periode,2019jokowilanjut; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMarufAmin; ,0.0,Positif,0.9733298420906067
0,1.226668800981926e+18,An91tony,Mon Feb 10 00:46:47 +0000 2020,ayo bergerak dibidang bergerak kemampuan bergerak bergerak komunitas memenangkan jokowi bertekad menggenapkan kepemimpinan jokowi periode,Jokowi2Periode; 2019TetapJokowi; ,0.0,Positif,0.9932574033737183
0,1.2266687215418e+18,FujiHans,Mon Feb 10 00:46:28 +0000 2020,biarkan indonesia tercinta terpecah belah isu sara,2019jokowilanjut; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMarufAmin; ,0.0,Positif,0.9055236577987671
0,1.226661390456197e+18,dwiharyanto26,Mon Feb 10 00:17:20 +0000 2020,susah ini itu salah jokowi brrt meningkatkan kualitas dirimu berfikir positif,2019PilihankuJokowiMaruf; 2019PilihJokowi; Jokowi2Periode; jokowi2periode; 2019tetapjokowi; ,0.0,Positif,0.9880416393280029
0,1.2266613040409969e+18,Zahrazarra1,Mon Feb 10 00:16:59 +0000 2020,teruslah istiqomah berprasangka realitas berkembang terpenting,2019TetapJokowi; 2019PilihJokowi; ,0.0,Positif,0.9540716409683228
0,1.2266612959879414e+18,SilviiaSandras1,Mon Feb 10 00:16:57 +0000 2020,jiwa tersenyum ibadah marilah mempengaruhi kegembiaraan kehidupan,2019TetapJokowi; Jokowi2Periode; iwartaid; ,0.0,Positif,0.9810513257980347
0,1.226661294436016e+18,RahayuShintta,Mon Feb 10 00:16:57 +0000 2020,kh ma ruf amin ulama beliau ketua nu ormas islam terbesar,2019jokowilanjut; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMarufAmin; ,0.0,Positif,0.8648959994316101
0,1.2266611744202424e+18,FujiHans,Mon Feb 10 00:16:28 +0000 2020,jokowi amin,2019jokowilanjut; 2019TetapJokowi; 2019JokowiMaruf; 2019JokowiMarufAmin; ,0.0,Netral,0.6010496020317078
0,1.2266537997474857e+18,dwiharyanto26,Sun Feb 09 23:47:10 +0000 2020,masyarakat papua deklarasi dukung jokowi periode membentangkan spanduk raksasa bertuliskan terima kasihku untukmu jokowi i love papua,Jokowi2Periode; jokowi2periode; 2019tetapjokowi; ,0.0,Positif,0.9960765242576599
