,ID,Username,Date,Tweet,Hashtags,RT,SA,Float
0,1.2260186562382602e+18,fayani98,Sat Feb 08 05:43:20 +0000 2020,aktivititas harian saudara sebangsa wni evakuasiwniwuhan penjemput transit observasi natuna doakan,EvakuasiWNIWuhan; ,15.0,Positif,0.9430083632469177
0,1.2260181538738504e+18,heryantoliem,Sat Feb 08 05:41:20 +0000 2020,lapor pakde pekerjaan indonesiamaju konstruksi maju begini siap,IndonesiaMaju; ,0.0,Positif,0.978739857673645
0,1.2260171370487316e+18,WidiartaWirawan,Sat Feb 08 05:37:18 +0000 2020,waykanan temanlampung waykananprihatin indonesiamaju indonesiacantik indonesiaunggul arinal cc ri ayo anggota dprd way kanan terpilih tunjukan kinerja,waykanan; temanlampung; waykananprihatin; IndonesiaMaju; indonesiacantik; IndonesiaUnggul; Arinal; ,0.0,Positif,0.8735871911048889
0,1.2260157675874755e+18,Abankgera999,Sat Feb 08 05:31:51 +0000 2020,presiden jokowi resmikan tpa sampah regional banjarbakula banjarbaru presiden jokowi apresiasi model pengelolaan sampah,,14.0,Negatif,0.02258368395268917
0,1.2260122742187827e+18,LensaRakyat,Sat Feb 08 05:17:59 +0000 2020,ayo dukung ruu omnibus law omnibuslaw dukungomnibuslaw dorongekonomi indonesiamaju,omnibuslaw; dukungomnibuslaw; dorongekonomi; IndonesiaMaju; ,0.0,Positif,0.9707344770431519
0,1.226012202684928e+18,LensaRakyat,Sat Feb 08 05:17:41 +0000 2020,isu dihilangkan hoax omnibuslaw dukungomnibuslaw dorongekonomi indonesiamaju,omnibuslaw; dukungomnibuslaw; dorongekonomi; IndonesiaMaju; ,0.0,Netral,0.6541783809661865
0,1.22601208138564e+18,suara_indo1,Sat Feb 08 05:17:13 +0000 2020,percaya isu isu bohong omnibus law omnibuslaw dukungomnibuslaw dorongekonomi indonesiamaju,omnibuslaw; dukungomnibuslaw; dorongekonomi; IndonesiaMaju; ,0.0,Netral,0.6386422514915466
0,1.2260118691539108e+18,suara_indo1,Sat Feb 08 05:16:22 +0000 2020,omnibuslaw dukungomnibuslaw dorongekonomi indonesiamaju,omnibuslaw; dukungomnibuslaw; dorongekonomi; IndonesiaMaju; ,0.0,Netral,0.6010496020317078
0,1.2260096395877007e+18,DodiSaputra03,Sat Feb 08 05:07:30 +0000 2020,omnibus law jaminan kenaikan upah jaminan sosial indonesiamaju omnibuslaw,IndonesiaMaju; OmnibusLaw; ,0.0,Positif,0.9885894060134888
0,1.22600936606455e+18,DodiSaputra03,Sat Feb 08 05:06:25 +0000 2020,omnibus law mewujudkan umkm go internasional mimpi indonesiamaju omnibuslaw,IndonesiaMaju; OmnibusLaw; ,0.0,Positif,0.975042462348938
