,ID,Username,Date,Tweet,Hashtags,RT,SA,Float
0,1.2258305072014868e+18,welly_albinanto,Fri Feb 07 17:15:42 +0000 2020,bicara pohon ditebang revitalisasi monas giliran hutan dibakar dibilang sawitbaik ekonomi lah revitalisasi monas sembah sujud belain mati matian,sawitbaik; ,0.0,Positif,0.910058319568634
0,1.225603579102163e+18,ManumpakM,Fri Feb 07 02:13:58 +0000 2020,please join with us palmoilgood sawitbaik,palmoilgood; sawitbaik; ,0.0,Netral,0.6010496020317078
0,1.2247278669710623e+18,chafid_a,Tue Feb 04 16:14:12 +0000 2020,already know this when they tried to trend sawitbaik,SawitBaik; ,0.0,Netral,0.6010496020317078
0,1.2247139911901962e+18,sakitintrovert_,Tue Feb 04 15:19:04 +0000 2020,wwf dukung sawitbaik piye mz sawit berkelanjutan ki piye carane ngerusakke hutan iya pemilik lahan sawit,SawitBaik; ,0.0,Positif,0.9346957206726074
0,1.2246340677877596e+18,flybumble,Tue Feb 04 10:01:29 +0000 2020,sawitbaik,SawItBaik; ,0.0,Netral,0.6010496020317078
0,1.2242420026376397e+18,Kusnadi06_,Mon Feb 03 08:03:33 +0000 2020,yekali gegara pohon getahnye beracun ditebangin bikin isu memic,,8.0,Netral,0.5755932927131653
0,1.2242027253378867e+18,daztanism,Mon Feb 03 05:27:28 +0000 2020,sawit bang ah sawitbaik,sawitbaik; ,0.0,Negatif,0.36317017674446106
0,1.2241912523309998e+18,f_jart,Mon Feb 03 04:41:53 +0000 2020,this is madness sawitbaik anjinh,sawitbaik; ,0.0,Positif,0.9809606075286865
0,1.224148258412327e+18,iniakunler,Mon Feb 03 01:51:03 +0000 2020,dibahas cuman ujung kulon y wwf keputusan berani perdebatan aktivis lingkungan w menunggu reaksi kemarin ramai sawitbaik keputusan ini,sawitbaik; ,0.0,Negatif,0.02240171656012535
0,1.2241073042342339e+18,infosawit,Sun Feb 02 23:08:18 +0000 2020,bpdp sawit melaksanakan program green fuel nasional beritasawit sawit palmol greenfule jokowimaruf kabinetindonesiamaju biodiesel indonesia,beritasawit; Sawit; palmol; greenfule; Jokowimaruf; KabinetIndonesiaMaju; biodiesel; Indonesia; ,0.0,Positif,0.9938780665397644
0,1.224010808977326e+18,motherofstar1,Sun Feb 02 16:44:52 +0000 2020,wie berhub karhutla kemarin suara buzzer sawitbaik,sawitBaik; ,2.0,Positif,0.8782855272293091
0,1.2239814075648123e+18,shi__wie,Sun Feb 02 14:48:02 +0000 2020,berhub karhutla kemarin suara buzzer sawitbaik,sawitBaik; ,2.0,Positif,0.8782855272293091
0,1.223976768740053e+18,RaihanFdaus,Sun Feb 02 14:29:36 +0000 2020,me sawitbaik,SawitBaik; ,0.0,Netral,0.6010496020317078
0,1.2239649837734257e+18,Djupria2,Sun Feb 02 13:42:46 +0000 2020,sulton piyuu,,4.0,Netral,0.6010496020317078
0,1.2238844382258668e+18,DukeCondet,Sun Feb 02 08:22:43 +0000 2020,yekali gegara pohon getahnye beracun ditebangin bikin isu memicu perang agama hutan sumatera kalimantan papua digundulin cukong suporter sawitbaik diem aje betina kebanyakan ngayal,SawitBaik; ,8.0,Positif,0.9731132388114929
0,1.2238843761501635e+18,DukeCondet,Sun Feb 02 08:22:28 +0000 2020,sulton piyuu nyapir hassan id yekali gegara pohon getahnye beracun ditebangin bikin isu memicu perang agama hutan sumatera kalimantan papua digundulin cukong suporter sawitbaik diem aje betina kebanyakan ngayal,SawitBaik; ,4.0,Positif,0.9731132388114929
0,1.2235637153976115e+18,fawaizr,Sat Feb 01 11:08:17 +0000 2020,indo mah negara sawitbaik,sawitbaik; ,0.0,Positif,0.9196717143058777
0,1.2235410661433713e+18,ErrinoPutra,Sat Feb 01 09:38:17 +0000 2020,sawitbaik bangsat,,0.0,Netral,0.6010496020317078
0,1.2234412539807662e+18,kondekturbus_,Sat Feb 01 03:01:40 +0000 2020,kuangkat tagar ganjabaik di bully sawitbaik,GanjaBaik; SawitBaik; ,6.0,Negatif,0.0267962459474802
0,1.2234362750526218e+18,infosawit,Sat Feb 01 02:41:52 +0000 2020,koperasi petani sawit kalbar lakukan replanting didukung bpdp ks beritasawit sawit palmoil sawitbaik bpdpks bpdpsawit sobatani sahabatkebun kalbar,beritasawit; Sawit; palmoil; Sawitbaik; BPDPKS; BPDPSawit; Sobatani; SahabatKebun; Kalbar; ,0.0,Netral,0.5173698663711548
0,1.2234043175388078e+18,rifataldn,Sat Feb 01 00:34:53 +0000 2020,akbar sawitbaik fat,sawitbaik; ,1.0,Netral,0.6010496020317078
0,1.2232417614446223e+18,istiqlal_pm,Fri Jan 31 13:48:57 +0000 2020,sawitbaik influencer hold my lesithin,sawitbaik; ,0.0,Netral,0.6010496020317078
0,1.223069920579076e+18,hakimbazol,Fri Jan 31 02:26:07 +0000 2020,sawitbaik butuh dananya biorefinery asik kayaknya ju,SawitBaik; ,0.0,Netral,0.526010274887085
