,IDrts,ID,Username,Date,Tweet,Hashtags,RT,SA,Float
0,,1141987433275248640,sayahariodanang,2019-06-21 08:33:15+00:00,Ini akun bekas nurhadialdo udah ganti ternyata ya dan jujur aja kek udah garelevan jokesnya wkwk,,0,Netral,0.5468356609344482
0,,1141775030998769670,Rifkiqiw,2019-06-20 18:29:15+00:00,Untung guamah aliansi bkn pasukan sobat rusuh,,0,Positif,0.9845577478408813
0,,1141721122406195201,torifle,2019-06-20 14:55:02+00:00,Aku dukung nurhadialdo,,0,Positif,0.9102345705032349
0,,1141400622438047744,yovizlnaysf,2019-06-19 17:41:29+00:00,jika lelaki memaafkan saat wanita melakukan kesalahan lalu kenapa wanita harus meninggalkan saat lelaki melakukan kesalahan prabowo jokowi nurhadialdo TwitterMengundangRadit sunda pernah,prabowo jokowi nurhadialdo twittermengundangradit sunda pernah ,0,Positif,0.8999322056770325
0,,1140084721247907841,ksatriaRINO,2019-06-16 02:32:33+00:00,Terpujilah bapak pembangunan kita NurhadiAldo,nurhadialdo ,0,Negatif,0.09582781791687012
0,,1139841188960206849,adheseptyana,2019-06-15 10:24:51+00:00,Berkata terus bertindak dong,,0,Positif,0.9470422863960266
0,,1139841123029905408,Bobrafli,2019-06-15 10:24:35+00:00,Haha ingin ku berkata,,0,Netral,0.6666276454925537
0,,1139840893932851201,adheseptyana,2019-06-15 10:23:40+00:00,Oh jadi ini bapak lu ga heran wkwk,,0,Negatif,0.0011862788815051317
0,,1139840782469234688,Bobrafli,2019-06-15 10:23:14+00:00,Ya Allah beneran udh merusak keindahan cuitan gua Adopsi sm pak aja,,0,Positif,0.7135705947875977
0,,1139804897824501761,SALOMONSANJAYP,2019-06-15 08:00:38+00:00,nurhadialdo jokowi prabowo pilpres emak emakemak partaiemakemak jokowi ibu ibuibu jokowi ribut capres islam kristen hindu budha konghucu agama sementara santai indonesia adem mahasiswa,nurhadialdo jokowi prabowo pilpres emak emakemak partaiemakemak jokowi ibu ibuibu jokowi ribut capres islam kristen hindu budha konghucu agama sementara santai indonesia adem mahasiswa ,0,Positif,0.7693597078323364
0,,1139539323907268609,Wagiyah1,2019-06-14 14:25:21+00:00,Mungkin perlu didatangkan capres nomer NurhadiAldo untuk perbantuan mijit yg capek,,0,Positif,0.945917546749115
0,,1139517667214106624,alfianbayuprmn_,2019-06-14 12:59:17+00:00,dah comeback ke tuiter tinggal nunggu NurhadiAldo nih debut di tuiter,,0,Netral,0.6162725687026978
0,,1139366540208300034,masikelas5sd,2019-06-14 02:58:46+00:00,pro dildo,,0,Positif,0.7787083983421326
