,ID,Username,Date,Tweet,Hashtags,RT,SA,Float
0,1.2266967336833802e+18,mallasir1,Mon Feb 10 02:37:46 +0000 2020,masue harun masiku ilmu menghilang ditembak tempat layak tembak komisioner kpu terlibat berpengaruh nasib rakyat indonesia ini usut tuntas ott kpu indikasi pencurangan pemilihan,,0.0,Positif,0.7790873646736145
0,1.2266962303082168e+18,DoddyAchMaD_,Mon Feb 10 02:35:46 +0000 2020,pemilihan raya the jakmania hasilkan diky budi ramadhan ketum,,2.0,Negatif,0.15424545109272003
0,1.2266961902442168e+18,miak_,Mon Feb 10 02:35:37 +0000 2020,data hasil pemilihan provinsi ramah perolehan suara perempuan ar,,3.0,Negatif,0.044321075081825256
0,1.2266953299253248e+18,lee_juyeon_,Mon Feb 10 02:32:12 +0000 2020,hasil pemilihan diatur,,0.0,Negatif,0.2500130534172058
0,1.2266951094475366e+18,sentotakur,Mon Feb 10 02:31:19 +0000 2020,semoga satupun wni terpapar virus corona semoga pemerintah jujur menyembu,,215.0,Negatif,0.10993310064077377
0,1.2266949453288366e+18,Beebayu1,Mon Feb 10 02:30:40 +0000 2020,berani cekek polantas tohab diduga backingan jendral polisi kalo dalami mentolelir aksi yg,,53.0,Positif,0.8854683041572571
0,1.2266947767723418e+18,GesuriID,Mon Feb 10 02:30:00 +0000 2020,anugrah nyatakan dampingi whisnu,pdiperjuangan; ,0.0,Netral,0.6010496020317078
0,1.2266939126868173e+18,lemonadebluess,Mon Feb 10 02:26:34 +0000 2020,pemilihan kampus,,0.0,Netral,0.6010496020317078
0,1.2266937945835643e+18,_aillir,Mon Feb 10 02:26:06 +0000 2020,pemilu,,0.0,Positif,0.9473208785057068
0,1.2266937141704049e+18,tibudiyanto,Mon Feb 10 02:25:46 +0000 2020,pemilihan will be lit,,0.0,Netral,0.6010496020317078
0,1.226693383290159e+18,Pras_SIVB,Mon Feb 10 02:24:28 +0000 2020,terhormat pemilih mu pemilihan kemarin bilang ekonomi turun indonesia intoleran terburuk kepemimpinan indonesia intoleran,,0.0,Netral,0.43530774116516113
0,1.2266933460908687e+18,robindoang,Mon Feb 10 02:24:19 +0000 2020,negeri heran pagi bicara a malam b kampanye menyerang selesai pemilihan pemerintahan,,0.0,Negatif,0.005024388432502747
0,1.2266927341755843e+18,PemburuDajjal07,Mon Feb 10 02:21:53 +0000 2020,hasil pilpres pemilihan menjadikan banteng penguasa rezim namun manuver ki lurah jend merah via p,,22.0,Netral,0.6019278168678284
0,1.2266910014709228e+18,GesuriID,Mon Feb 10 02:15:00 +0000 2020,gibran ikuti fit proper test dpp pdi perjuangan,pdiperjuangan; ,0.0,Netral,0.4547467529773712
0,1.226690549614121e+18,hamidari2,Mon Feb 10 02:13:12 +0000 2020,uu nomor pemilihan legislatif,,0.0,Positif,0.9250320792198181
0,1.226688981619708e+18,KebumenBawaslu,Mon Feb 10 02:06:58 +0000 2020,persiapkan kami panwaslu kelurahan desa pemilihan bupati wakil bupati kebumen cermati pahami persyaratanya rakyat awasi pemilu bawaslu tegakkan keadilan pemilu,AyoAwasiPilkada2020; ,0.0,Positif,0.9811230301856995
0,1.2266868237216563e+18,BagasBayu,Mon Feb 10 01:58:24 +0000 2020,hubungannya denga gubernur sih move on pemilihan,,0.0,Negatif,0.010343160480260849
0,1.2266868024397046e+18,jlantah21,Mon Feb 10 01:58:19 +0000 2020,perjuangan gk pressure kuat mmg partai pengusung pemenang pemilu kenapa respon lambat nangani intoleran min perjuangan mewakili rakyat rakyat gaduh,pdiperjuangan47tahun; ,0.0,Netral,0.4889994263648987
0,1.226686297374253e+18,NamungAbdiGusti,Mon Feb 10 01:56:18 +0000 2020,id klaim suara menang pemilihan ya itu diklaim tolak pemulangan eks isis,,0.0,Positif,0.9638286828994751
0,1.2266847048305254e+18,Aprilliadiyah95,Mon Feb 10 01:49:58 +0000 2020,urusan pemilu perbankan administrasi lainlain mudah diselesaikan bolak balik kampung halaman,,5.0,Positif,0.980908989906311
0,1.22668411594607e+18,Jateng_Twit,Mon Feb 10 01:47:38 +0000 2020,lowongan pekerjaan kabar gembira dibentuk pengawas pemilihan desa kecamatan kradenan siapkan diri,,1.0,Negatif,0.1902189701795578
0,1.2266835087660646e+18,Ervan_jtm,Mon Feb 10 01:45:13 +0000 2020,perjuangan partai pemenang pemilihan pengusung presiden biarkan kadermu terlambat menangani intoleran ini relawan pantai utara plat s kecewa,,0.0,Netral,0.5853443741798401
0,1.2266829560448328e+18,hamidari2,Mon Feb 10 01:43:02 +0000 2020,pemilihan diselenggarakan berdasarkan uu lama,,0.0,Netral,0.4841075539588928
0,1.2266822810009805e+18,Asep62606910,Mon Feb 10 01:40:21 +0000 2020,ngabisin uang pemilihan,,0.0,Negatif,0.055613141506910324
0,1.226682105377149e+18,Syaiful12182089,Mon Feb 10 01:39:39 +0000 2020,id hebat tuh utang gila gilaan lunas pengangguran gaji cebong ngarep pemilu jujur koruptor hukum mati bikin gorong gorong hebat kedunguan tertutup sorban copot deh tu sorban mendingan pakai topi koboy bung,,0.0,Negatif,0.39061248302459717
0,1.2266811952425124e+18,ferri_ScHpai,Mon Feb 10 01:36:02 +0000 2020,lihat hitungan pemilu,,0.0,Negatif,0.015804264694452286
0,1.2266796101646623e+18,Dewara_Wisnu,Mon Feb 10 01:29:44 +0000 2020,indonesia orang meninggal orang sakit virus berjuang petugas pemilu habis pemilihan komisioner kpu kena skandal suap,,0.0,Positif,0.9118475317955017
0,1.2266781911854858e+18,nugraha_agusti,Mon Feb 10 01:24:06 +0000 2020,hapus twitmu mas gk mutu hasil pemilihan kemarin,,0.0,Positif,0.9831336140632629
0,1.2266777634671698e+18,dehadaud,Mon Feb 10 01:22:24 +0000 2020,ri pemerintah berdaya minoritas dibutuhkan pemilihan saja,,0.0,Negatif,0.2739887535572052
0,1.2266753818490798e+18,addinosaurus,Mon Feb 10 01:12:56 +0000 2020,jokowi butuh dikritik didukung dukungannya warga pas pem,,258.0,Negatif,0.0031539599876850843
0,1.2266747110414336e+18,Chakkun000,Mon Feb 10 01:10:16 +0000 2020,hassan mohon maaf meluruskan pancasila ideologi bljr ya koruptor rezim ini pelemahan kpk rezim ini lgbt promosiin rezim ini pemilihan korban sejarah indonesia rezim ini sesuai pancasila,,0.0,Negatif,0.04706645384430885
0,1.2266746544309084e+18,jawapos,Mon Feb 10 01:10:02 +0000 2020,banteng gianyar lantik mesin baru target sapu bersih pemilihan,,0.0,Positif,0.7626884579658508
0,1.226674084911702e+18,HumorPolitikINA,Mon Feb 10 01:07:47 +0000 2020,slank berpolitik politik praktis slank slankers kayak partai pemilu,,0.0,Positif,0.8978523015975952
0,1.2266735005149962e+18,machbeach,Mon Feb 10 01:05:27 +0000 2020,lee onta waras bawa anjing masuk masjid paksa pemilihan,,0.0,Negatif,0.38178202509880066
0,1.2266725843909263e+18,rinigrace,Mon Feb 10 01:01:49 +0000 2020,perjuangan halah omong doang min intoleransi wan aibon kalah payah jokowi men,,3.0,Positif,0.9262945055961609
0,1.2266721280969728e+18,GesuriID,Mon Feb 10 01:00:00 +0000 2020,catat cakada pdi perjuangan wajib sekolah partai,pdiperjuangan; ,0.0,Negatif,0.013066657818853855
0,1.226670570240004e+18,HariesRegar,Mon Feb 10 00:53:49 +0000 2020,revolusi mental abal abal jualan menang pemilu,,0.0,Netral,0.6345957517623901
0,1.2266699753073172e+18,EsensiBicara,Mon Feb 10 00:51:27 +0000 2020,ternyata sasaran oligarki tercapai sandiwara pemilihan atas nama rakyat sukses kali ini emang cocok youtuber penipuu,,0.0,Negatif,0.005202115513384342
0,1.2266689195926036e+18,Qiran14yara,Mon Feb 10 00:47:15 +0000 2020,berani cekek polantas tohab diduga backingan jendral polisi kalo dalami mentolelir aksi pelaku kompol teuku pelaku eksis dikegiatan pemilu akun media sosialnya tergabung profesional jokowi,,53.0,Positif,0.8822823166847229
0,1.226668704764584e+18,ViceVersa09,Mon Feb 10 00:46:24 +0000 2020,hassan se nya virus corona seram pemilihan pilpres indonesia petugas polisi tewas dibilang,,2248.0,Positif,0.9471190571784973
0,1.226666869727232e+18,nonapandi,Mon Feb 10 00:39:06 +0000 2020,mendasar sih anies bersikeras adain acara formula e monas layak cont,,139.0,Positif,0.9005222320556641
0,1.2266659792681247e+18,rifkyfarid,Mon Feb 10 00:35:34 +0000 2020,inget pemilihan kemaren ya allah alhamdulillah bagus selamet,,0.0,Positif,0.9937028288841248
0,1.2266658369260052e+18,muliadi_heru,Mon Feb 10 00:35:00 +0000 2020,id pendukung nya gila gangguan jiwa iya stress kali iya alasan orang gila mencoblos pemilu,,0.0,Negatif,0.36984726786613464
0,1.2266646441497764e+18,Boh_Batok,Mon Feb 10 00:30:16 +0000 2020,uap suap kapeuh korban tiwas pemilu siluman suara pemil,MisteriSuapKPU; MisteriSuapKPU; MisteriSuapKPU; ,0.0,Netral,0.6010496020317078
0,1.2266637858064876e+18,campusteast,Mon Feb 10 00:26:51 +0000 2020,kegaduhan diungkap dpr diem bersuara refleksi pemilihan petugas,,8.0,Positif,0.9404183626174927
0,1.2266620753609318e+18,panwaskradenan,Mon Feb 10 00:20:03 +0000 2020,lowongan pekerjaan kabar gembira dibentuk pengawas pemilihan desa kecamatan kradenan siapkan anda yakinkan benar benar layak posisi itu come and join us rakyat awasi pemilihan bawaslu tegakkan keadilan pemilihan,,1.0,Positif,0.9873684048652649
0,1.2266618295998505e+18,achyana_05,Mon Feb 10 00:19:05 +0000 2020,menang pemilihan faktor jokowi lihat nnt jokowi nyalonin presiden,,0.0,Netral,0.6099629998207092
0,1.226661812642308e+18,JakaMadangan4,Mon Feb 10 00:19:01 +0000 2020,abi,,2.0,Netral,0.6010496020317078
0,1.226658181171929e+18,AwliyaPakne,Mon Feb 10 00:04:35 +0000 2020,wktu pemilihan ramai memungut suara orgil pemilihan orgilnya kluar nampak nyatakan orgil ada ganguan kejiwaan pelakunya,MahasiswaBergerakMelawan; MeroketSkandalKorupsinya; IslamIdeologiPerjuanganMahasiswa; ,0.0,Negatif,0.040345653891563416
0,1.2266570281493996e+18,GesuriID,Mon Feb 10 00:00:00 +0000 2020,pdi perjuangan sumut rapatkan barisan jelang pemilihan kepala daerah,pdiperjuangan; ,0.0,Netral,0.6010496020317078
0,1.2266564135789814e+18,haluhalubadung,Sun Feb 09 23:57:33 +0000 2020,kelar pemilihan kampanye lagi selamat menikmati,,0.0,Negatif,0.02144169621169567
0,1.2266549804020777e+18,RichelleEdita,Sun Feb 09 23:51:52 +0000 2020,dikelilingi aparat membisikinya berantas kadrun pengacau nkri mentri dipilih k,,1.0,Negatif,0.24925857782363892
0,1.2266544391984497e+18,wiro_212_uhuy,Sun Feb 09 23:49:43 +0000 2020,dilaporkan orang mati mendadak pemilihan dibiarkan,,0.0,Negatif,0.10199107974767685
0,1.2266544375039836e+18,MeongEmpus,Sun Feb 09 23:49:42 +0000 2020,apakah partai pemenang pemilihan menolak takut panitia khusus dpr ri pansus solusi tepat,,0.0,Negatif,0.034528959542512894
0,1.2266540519047864e+18,dipdipnadhif,Sun Feb 09 23:48:10 +0000 2020,suara dititipin deh pas pemilihan suara dititipin kagak aneh dititipin kertas dicoblos dah,,0.0,Negatif,0.04318612441420555
0,1.226653830781096e+18,HandrisonImelda,Sun Feb 09 23:47:18 +0000 2020,habis gue tipu kalo bergabung ngapain pemilu fix golongan putih waktu karna menang yaa tetep kubu si nganu lagi liatin permainan mrk anies gue golput,,0.0,Positif,0.9668049812316895
0,1.2266537779413197e+18,_Bakemono,Sun Feb 09 23:47:05 +0000 2020,jkt nyebar isu bohong diperlakukan ratna Cuma ratna cum,,6.0,Positif,0.8548704981803894
0,1.2266496519247626e+18,leimarki,Sun Feb 09 23:30:41 +0000 2020,ngomongnya capres pemilihan,,0.0,Positif,0.8231331706047058
0,1.2266462953197363e+18,pamuji_alfaruq,Sun Feb 09 23:17:21 +0000 2020,tenang pak presiden dipilih dipilih pemilu presiden indonesia wajib suku jawa,,0.0,Negatif,0.004450016655027866
0,1.2266441847333437e+18,Septdell,Sun Feb 09 23:08:58 +0000 2020,coba deh drop berita hots masuk utbk pemilu tps sosio sej pemindahan kota sos sej,,166.0,Positif,0.9184466600418091
0,1.2266437802430546e+18,54b95a1f5445449,Sun Feb 09 23:07:21 +0000 2020,da kerjaan hobi kali pemilihan,,0.0,Negatif,0.007189430296421051
0,1.2266436268993372e+18,kangnasir_abi,Sun Feb 09 23:06:45 +0000 2020,,,2.0,Netral,0.6010496020317078
0,1.2266435253006787e+18,pcariKeAdilan,Sun Feb 09 23:06:21 +0000 2020,islam lagi alasan jujur senang praktek prostitusi bijak saya salut bicara berdasarkan kebenaran cuma pemilihan caleg main money politik islam,,0.0,Positif,0.9952630996704102
0,1.226641706579198e+18,Rahmawa06189296,Sun Feb 09 22:59:07 +0000 2020,tv jelang pemilihan ahy merapat jokowi jokowi demokrat jiwasraya,,0.0,Negatif,0.017428148537874222
0,1.2266410795013284e+18,unknownnote,Sun Feb 09 22:56:37 +0000 2020,ngelanggar peraturan nggak bukti tsm bikin persib dicurangi nggak halah kayak kalah pemilihan,,0.0,Negatif,0.011412064544856548
0,1.226640913062957e+18,Hariz_Detasemen,Sun Feb 09 22:55:58 +0000 2020,mengancam jiwa jiwa resah krn ditembak mati akan merembet mega skandal pemilihan total gitu sik katanya katanyaa,KartuSaktiJKWhanyaJanji; ,0.0,Positif,0.7218955755233765
0,1.2266407356565012e+18,mudha_satriya,Sun Feb 09 22:55:15 +0000 2020,diserbu dukungan whisnu semangat turun masyarakat,pdiperjuangan; ,1.0,Netral,0.641247034072876
0,1.2266404595664364e+18,hariankompas,Sun Feb 09 22:54:10 +0000 2020,pelanggaran terkait aspek profesionalitas tersebut konsistensi merujuk data tersebut penyelenggara pemilihan relatif terjaga kemandiriannya,Polhuk; AdadiKompas; ,0.0,Negatif,0.3824388384819031
0,1.2266404479985746e+18,ariefjavaz,Sun Feb 09 22:54:07 +0000 2020,ngincer wapres pemilihan hahhaha mudah kebaca arahnya,,0.0,Positif,0.9725072383880615
0,1.2266368157732577e+18,Kosasih7Ujang,Sun Feb 09 22:39:41 +0000 2020,target menang pemilihan pkb jabar gaet pengurus milenial pkb,,8.0,Netral,0.6010496020317078
