,ID,Username,Date,Tweet,Hashtags,RT,SA,Float
0,1.226700768578691e+18,andrsetya81,Mon Feb 10 02:53:48 +0000 2020,jeli narasi diikuti tagar usung mengarah provokasi polarisasi pilkada,,23.0,Positif,0.9700018763542175
0,1.2267007429305262e+18,BerkahHasna,Mon Feb 10 02:53:42 +0000 2020,dibilang pil kb pilpres bednya tipis pil kb lupa pilpres lupa,,0.0,Negatif,0.2277839332818985
0,1.2267005254432236e+18,awkyirun,Mon Feb 10 02:52:50 +0000 2020,pemilihan cawapres pilpres penyusunan kabinet ini sepak terjang jokowi muak benar benar,,188.0,Negatif,0.23197506368160248
0,1.2266998153559654e+18,HANMAS19,Mon Feb 10 02:50:01 +0000 2020,bangun terowongan mesjid gereja orang pindahkan dubai kaltim orang ribut hasil situng pilpres y,,5.0,Positif,0.9786370992660522
0,1.2266997944683274e+18,EHGirsang,Mon Feb 10 02:49:56 +0000 2020,bilang partai nasionalis event pileg pilpres ini milih pas deh jabat tutup mata semua partai hijau konsekuen diucapin realita sekarang alasan gw,,0.0,Negatif,0.06365501135587692
0,1.2266991829849457e+18,Mey_MeynieJT,Mon Feb 10 02:47:30 +0000 2020,vandi matrix mei baca daerah menangkan oposisi coba cari datanya sdh kejadian itu pilpres atw sebelumnya permukaan lapangan gereja ayah sekolah gw,,0.0,Netral,0.6165599226951599
0,1.2266991818986496e+18,noDUB3,Mon Feb 10 02:47:30 +0000 2020,detikcom akun facebook nya sabtu tohap silaban memposting foto kegiatan mas,,1443.0,Negatif,0.023221956565976143
0,1.2266984737952522e+18,Mey_MeynieJT,Mon Feb 10 02:44:41 +0000 2020,vandi matrix mei oo salah oposisi gitu coba cek intoleransi pilpres atw pilpres pilpres pemicu,,0.0,Positif,0.7227154970169067
0,1.2266983071178424e+18,fasyam7,Mon Feb 10 02:44:02 +0000 2020,lindungi pemerintah iya allah pilpres menang jujur menang curang hancurkan iya allah,,2.0,Positif,0.9775623083114624
0,1.226697927751426e+18,Gun4w4nAhokers,Mon Feb 10 02:42:31 +0000 2020,pilpres usai presiden dilantik pendukang pendukung hanya bersikap kritis membenarkan,,0.0,Positif,0.9171695709228516
0,1.2266977924599603e+18,Ganti_si_IDIOT,Mon Feb 10 02:41:59 +0000 2020,inspeksi mendadak meikarta terkait corona lippo cikarang diduga berbohong pekerjakan tka china ilegal dubes china juta warga china indonesia cerita tka mana mana pelosok hoaks nya kampanye pilpres,,0.0,Negatif,0.3686390817165375
0,1.2266977567791882e+18,IstiantoBayu,Mon Feb 10 02:41:50 +0000 2020,mas pilpres periode presiden benci beliau kelompok oposisi saat,,24.0,Negatif,0.10467123985290527
0,1.2266974651826012e+18,candrasurya,Mon Feb 10 02:40:41 +0000 2020,jokowi mebual watu kampanye politik pilpres terwujud tercapai membohongi publik janji politik nya tercapai santuy arti gagal,,0.0,Positif,0.7897957563400269
0,1.226697164983718e+18,Hendri_74_HKH,Mon Feb 10 02:39:29 +0000 2020,marufamin pilpres lalu kaki terkilir menemui rekan rekan pers beberap,,55.0,Netral,0.655714213848114
0,1.2266968734124442e+18,YogaAdrianyoga6,Mon Feb 10 02:38:20 +0000 2020,dlu alasan golongan putih pilpres diamnya jokowi thdp intoleransi memilih sang inovator gaduh wakilnya bilang periode intoleransi diselesaikan buzzer kalah telak golputer,,0.0,Positif,0.8503086566925049
0,1.2266967027587523e+18,abdullah_ujank,Mon Feb 10 02:37:39 +0000 2020,waw waw waw sehebat penyelamat negri kekalahan pilpres pndukngnya gila,,0.0,Negatif,0.28972357511520386
