,ID,Username,Date,Original,Tweet,Hashtags,RT,SA
0,1462381498288381953,raddoarland,2021-11-21 11:24:53+00:00,"@kompascom Kalau kata buzzer “itu kesalahan pemerintah sebelumnya”. Mungkin karena banjirnya gak terjadi di pemerintahan sebelumnya. Ada buzzer yang bilang “itu tanggung jawab daerah masing-masing, jangan apa-apa ke pusat”.",buzzer salah perintah banjir perintah buzzer bilang tanggung daerah pusat,,0,Normal
0,1462381408106987521,Fadhlur__,2021-11-21 11:24:32+00:00,"Sejenius apapun seseorang,pasti pernah melakukan kesalahan [ kogure – slam dunk ]",jenius orang laku salah kogure salam,,0,Normal
0,1462381392818425857,selendiipity,2021-11-21 11:24:28+00:00,@motonikbs Suka ga nyambung komennyaa wkwk bahas2 kesalahan di match kemarin jugaa,suka sambung komennyaa wkwk salah match kemarin,,0,"HS, HS_Other, Abusive"
0,1462381385872994304,JombloSave,2021-11-21 11:24:26+00:00,"Wahai Jomblo, kesalahan bukan terletak pada tulang rusuk masih utuh, tapi pada keberanian anda mengungkapkan cinta.",jomlo salah letak tulang rusuk utuh berani cinta,,0,Abusive
0,1462381357301395464,mulut_haramlo,2021-11-21 11:24:19+00:00,"Sebelum mengkritik orang lain, pikirkan dahulu apakah kita sendiri telah sempurna dan bebas dari kesalahan. farhatabbaslaw",kritik orang pikir sempurna bebas salah farhat abbas law,,0,Normal
0,1462381336149192709,HasnaBerkah,2021-11-21 11:24:14+00:00,"@OposisiCerdas Dosa kesalahan makhluq Alloh pertama adalah ""Sombong"", itu dilakukan Iblis, dan akhirnya beranak pinak sampai berimbas pada Manusia...",dosa salah makhluq allah peama,,0,Normal
0,1462381145392558083,isanbrandals,2021-11-21 11:23:29+00:00,Kesalahan kita yang paling buruk adalah terlalu sibuk mengamati dan mengurusi kesalahan orang lain.,salah buruk sibuk urus salah orang,,0,"Abusive, HS_Individu, HS_Weak"
0,1462381115906605058,dmzbheack,2021-11-21 11:23:22+00:00,"Sesungguhnya, dibalik kata ""maaf"". Ada janji dan penyesalan yang tidak akan mengulangi kesalahan yang sama",sungguh,,0,Normal
0,1462381036898193409,rfmodric,2021-11-21 11:23:03+00:00,"@worksfess ada, namanya QA, kerjaannya nyari nyari kesalahan aplikasi🤣",nama qa kerja cari cari salah aplikasi,,0,"Abusive, HS_Individu, HS_Other, HS_Weak"
0,1462380820719570945,fattahazzam98,2021-11-21 11:22:12+00:00,"@PorosHalangID Agak kecewa juga sih karena harus atur ulang strategi dari 0, padahal sebenarnya itu juga kesalahan dari para pemainnya gitu aja sih",kecewa sih atur ulang strategi salah main sih,,0,Normal
0,1462380746518134787,draculaurene,2021-11-21 11:21:54+00:00,"well, good luck mending your poor reputation (sincerely). gue gamau jg sih jd anti si mba krn ngapain jg buang2 waktu, cm berharap dia berubah jadi lebih baik aja dan belajar dr kesalahan yg udah2 😌",well good luck mending your poor reputation sincerely gue sih anti sih mbak harap ubah ajar salah,,0,Normal
0,1462380711554338820,Aqillanadhifa_,2021-11-21 11:21:46+00:00,""" KESALAHAN TERBURUK ADALAH KETIKA KAMU TIDAK PERCAYA DENGAN KEMAMPUAN DIRIMU SENDIRI """,,,0,Abusive
0,1462380710610624513,LoeGueNKRI,2021-11-21 11:21:45+00:00,@GodFather_SH18 Preetttt... gubernur ora iso nyambut gawe. Gubernur kelebihan bayar... Jakarta telah melakukan kesalahan FATAL,preett gubernur nyambut kerja gubernur bayar jakaa laku salah fatal,,0,"HS, HS_Group, HS_Other, HS_Moderate, Abusive"
0,1462380536786132997,tempodotco,2021-11-21 11:21:04+00:00,4 Kesalahan Berpikir para Jomblo saat Menjalin Hubungan Bikin Hidup Lebih Baik https://t.co/9IREQ6cDFy #TempoCantik,salah pikir jomlo jalin hubung bikin hidup,tempocantik ,1,Normal
0,1462380268296175617,dalcoi_store,2021-11-21 11:20:00+00:00,"JUAL NETFLIX MURAH

SHARING
45K/bulan
130K/3 bulan

PRIVATE
195/bln

App lainnya cek pin
Minat WA DM

youtube premium spotify disney hotstar viu apple music go wetv grammarly hbo iqiyi sewa zoom prime vsco scribd vidio hulu atta gummy Tupperware dita kesalahan ole squid Mandalika",jual netflix murah sharing private app cek pin minat wa direct message youtube premium spotify disney hotstar viu apple musik go wetv grammarly hbo iqiyi sewa zoom prime vsco scribd video hulu atta gummy tupperware dita salah ole squid mandalika,,0,"HS, HS_Individu, Abusive"
0,1462380265263620098,MillenialMarha1,2021-11-21 11:19:59+00:00,"Puluhan Milyar PAD Bakal Hilang, Komisi II DPRD Karawang dorong Pemda Buat Raperda PBG
------
Atta Minions Kesalahan Akane Dita Mandalika 
#BTSxAMAs
#ThankYouOle
#ONEPIECE1000LOGS

Sumber : https://t.co/xCG9T3NaiQ https://t.co/Iyd6j9aMMh",puluh milyar pad hilang komisi ih dewan wakil rakyat daerah karawang dorong perintah daerah raperda pbg atta minion salah akane dita mandalika sumber,btsxamas thankyouole onepiece1000logs ,0,Normal
0,1462380259727216642,Raids_store,2021-11-21 11:19:58+00:00,"HARGA DIAMOND MOBILE LEGENDS SLOW

490 = 82.000
735 = 123.000
980 = 164.000
1225 = 205.000
1470 = 245.500
1715 = 286.500
1960 = 327.500
2205 = 368.500
2450 = 409.500
2695 = 450.500

KESALAHAN ID SERVER = HANGUS

PERKIRAAN MASUK TGL 29 NOV, PALING LAMA TGL 6 DES",harga diamond mobile legends slow salah id server hangus masuk tanggal november tanggal desember,,0,Abusive
0,1462380092320284673,QuoteTawa,2021-11-21 11:19:18+00:00,Move on itu kayak baru belajar baca atau ngeja. Banyak kesalahan dan harus nyoba lagi sampe bisa. ##QT,pindah on kayak ajar baca ngeja salah coba,qt ,0,Normal
0,1462380040868425728,_urelookingfor,2021-11-21 11:19:06+00:00,@lampungbase gueeee. gara-gara kesalahan sistem sopinya katanya heuu,guee gara gara salah sistem sopi heuu,,0,Abusive
0,1462379999499931650,mariexgold,2021-11-21 11:18:56+00:00,@rlgxg nyari nyari kesalahan,cari cari salah,,0,Abusive
0,1462379925143384069,michaelsiswarah,2021-11-21 11:18:38+00:00,"@susipudjiastuti Kesalahan ajah... ""Kita"". Typical 😂",salah,,0,Normal
0,1462379920899080196,tomomi90,2021-11-21 11:18:37+00:00,"""Pecundang Bukan Berarti Yang Kalah.. Pecundang Yang Sebenarnya Ialah Tidak Mengakui Kekalahannya Dan Tidak Mau Merubah Kesalahan Kesalahannya !!!""",,,0,Abusive
0,1462379857703096329,Gamzhett,2021-11-21 11:18:22+00:00,"Self-actualized people are independent of the good opinion of others.

Atta Tupperware Innalillahi Kesalahan",self actualized people are independent of the good opinion of others atta tupperware innalillahi salah,,1,"HS, HS_Individu, HS_Other, HS_Weak"
0,1462379794683760641,puppyika,2021-11-21 11:18:07+00:00,"kesalahan terbesar aku adalah pernah pacaran sama orang itu, isss kenapa dia nyebelin banget",salah pacar orang iss sebal banget,,0,"HS, HS_Individu, HS_Physical, HS_Weak, Abusive"
0,1462379723942629376,Gamzhett,2021-11-21 11:17:50+00:00,"Maxim for life:
You get treated in life the way you teach people to treat you.

Atta Tupperware Innalillahi Kesalahan",maxim for life get treated in life the way teach people to treat atta tupperware innalillahi salah,,1,Abusive
0,1462379577854939138,Gamzhett,2021-11-21 11:17:15+00:00,"When you're just like everybody else, you've nothing to offer other than your conformity.

Atta Tupperware Innalillahi Kesalahan",when re just like everybody else ve nothing to offer other tahan your conformity atta tupperware innalillahi salah,,1,Normal
0,1462379491305529344,sant_sugeng,2021-11-21 11:16:55+00:00,"@Nicho_Silalahi @susetyopr Enak yo jadi pejabat atau buzzerRp yang pro Rezim, mau jempalitan buat kesalahan tetap aamaaaan. Untouchable man bingit. Mau kebal hukum ? Yuk gabung jadi fans THE KING, dijamin hidup anda nyaman dan tenang. 🤡",enak iya jabat buzzerrp pro rezim jempalit salah aamaan untouchable man banget kebal hukum yuk gabung fan the raja jamin hidup nyaman tenang,,0,Normal
0,1462379430848856064,AlmarhumFulan,2021-11-21 11:16:40+00:00,"@susantiiagil Bagi saya, sebagai sebagai remaja yang baru mengenal asmara, pastinya saya akan bertanya kepada siapa dia menaruh rasa, sebab, selingkuh perihal rasa, bukan sebab kesalahan kita. Siapapun kita, kalau dia benar benar sayang, dia akan memilih memperbaiki, bukan mencari pengganti.",remaja kenal asmara bea taruh selingkuh perihal salah sayang pilih cari ganti,,0,Normal
0,1462379379061755909,Gamzhett,2021-11-21 11:16:28+00:00,"Keep in mind that no matter how perfectly you get your life in order, you will never be rid of all your problems.
Problems are a way of life, always have been, always will be.
But how you elect to view those problems is all up to you.

Atta Tupperware Innalillahi Kesalahan",keep in mind that no matter how perfectly get your life in order will never be rid of all your problems problems are a way of life always have been always will be but how elect to view those problems is all up to atta tupperware innalillahi salah,,1,"Abusive, HS_Other"
0,1462379327153004546,Angkasa1Mas,2021-11-21 11:16:15+00:00,"Atta, Minions, Mandalika, Kesalahan
tau ndak kepanjangan AMMK?? https://t.co/roSWoqJj8V",atta minion mandalika salah tau ammk,,0,Normal
0,1462379307829891074,haltpeaches,2021-11-21 11:16:11+00:00,"⚠️ before we start it, INI JUST FOR FUN YAAA!!! btw feel free buat negur gw kalo gw ada kesalahan 🤟🏻",we stasiun it just for fun ya by the way feel free tegur gue gue salah,,0,"Abusive, HS_Individu, HS_Weak"
0,1462379281443663878,AngelDiansary,2021-11-21 11:16:05+00:00,Maafkan diri sendiri. Jangan menyesali kesalahan. Maaf itu mengobati hati dan mendamaikan diri.,maaf sali salah maaf obat hati damai,,0,HS
0,1462379201265225738,Maaaariza,2021-11-21 11:15:45+00:00,Seseorang ngerasa bersalah sama dirinya karna gamaksimal dalam tugas itu bagus banget. Tandanya dia paham kekurangan diri sendiri jadi gaperlu disalah-salahin. Kita hanya perlu mmbangun rasa percaya kalo dia mampu memperbaiki dan menekankan kalo membuat kesalahan itu wajar,orang salah gamaksimal tugas bagus banget tanda paham gaperlu salah salah mmbangun percaya tekan salah wajar,,0,"Abusive, HS_Individu, HS_Other, HS_Weak"
0,1462379188527136772,chibicatsaurus,2021-11-21 11:15:42+00:00,"pengen jawab gini

""ga harus, siapa mengharuskan? adek-adek aku bisa ambil pelajaran dari aku buat ga ngulang kesalahan yang sama. don't put too much expectations, aku ya manusia kayak adek-adekku, dan aku sadar aku beda dari keluargaku sendiri. aku jadi contoh, sesat yang ada https://t.co/W2FJo9CdTt",,,0,"Abusive, HS_Individu, HS_Other, HS"
0,1462379160177819654,aristiana_dwi,2021-11-21 11:15:36+00:00,@saecvoe @sorraaa__ @bertanyarl Tp klo kesalahan akibat penggunaan pribadi ga bisa sist.. Kecuali defect dr sananya baru bisa tukar,salah akibat pribadi sist kecuali defect tukar,,0,Normal
0,1462379009723928576,caafirs,2021-11-21 11:15:00+00:00,"JUAL NETFLIX ANTI HOLD GARANSI

SHR 45K/bln
PRV 190K/bln 
MINAT?DM/WA

spotify viu youtube prime disney hotstar wetv iflix grammarly apple music hbo go iqiyi vidio mola tv murah kesalahan chenle jeon mandalika jihoon chan dita janet hollywood hoshi akane tupperware gummy Oh my E https://t.co/qZ4Sd6niyb",jual netflix anti hold garansi shr prv minat direct message wa spotify viu youtube prime disney hotstar wetv iflix grammarly apple musik hbo go iqiyi video mola televisi murah salah chenle jeon mandalika jihoon chan dita janet hollywood hoshi akane tupperware gummy oh my e,,0,Normal
0,1462379008864047104,sugiartofirman3,2021-11-21 11:15:00+00:00,@Bul3_3 Sbagai org berpendidikan malu seharusx bcr spt ini.apa kah ulama adalah mahkluk suci yg tanpa kesalahan??jk ulama bejat ngapain dibela habis2an.jk g mau berurusan sm hukum ya taati hukum atau peraturan yg ada dinegri ini.,orang didik malu seharusx bocor surat pemberitahuan kah ulama mahkluk suci salah ulama bejat bela urus hukum ya taat hukum atur negeri,,0,Abusive
0,1462378956808540161,piyupoy,2021-11-21 11:14:47+00:00,Nge save nmr mba2 Erafone adalah kesalahan besar,nge save nomor erafone salah,,0,"HS, HS_Individu, HS_Other, HS_Weak"
