,ID,Username,Date,Original,Tweet,Hashtags,RT,SA
0,1.2934811939842335e+18,adityahendy,Wed Aug 12 09:35:23 +0000 2020,"RT @wisatasemarang: Beginilah suasana indah di Dusun Cuntel, Kopeng, di lereng Gunung Merbabu. Di sini bisa melihat panorama Gunung Sindoro…",suasana indah dusun cuntel kopeng lereng gunung merbabu lihat panorama gunung sindoro,,146.0,Normal
0,1.2934811669100462e+18,gratisongkir_,Wed Aug 12 09:35:16 +0000 2020,"RT @SimpleM81378523: nyari kost di Semarang, selalu yg diutamakan adalah tanya dulu ke pemilik kost apa kamar disebelah ada yg tinggal atau…",cari indekos semarang utama milik indekos kamar belah tinggal,,7780.0,Normal
0,1.2934810108105892e+18,bkipmsemarang,Wed Aug 12 09:34:39 +0000 2020,"(12/08) #OneHealthKIPM Petugas dari BKIPM Semarang melaksanakan Kegiatan Pemantauan Penyakit Ikan Karantina di Kab. Banjarnegara, target penyakit bakteri dan virus dg media pembawa Ikan Nila dan Gurami.

@HumasBKIPM @rinajanwar2201 @PerdanaGatot 
#BKIPMSemarangPASTI #MAKINSEHAT https://t.co/PRMwVcZi0U",tugas badan karantina ikan kendali mutu aman hasil ikan semarang laksana giat pantau sakit ikan karantina kabupaten banjarnegara target sakit bakteri virus media bawa ikan nila gurami,OneHealthKIPM; BKIPMSemarangPASTI; MAKINSEHAT; ,0.0,Normal
0,1.2934809878384476e+18,aaniiqbal1,Wed Aug 12 09:34:33 +0000 2020,"RT @nu_online: Innalillahi, Imam Besar Masjid Kauman Semarang KH Ahmad Naqib Noor Berpulang https://t.co/NPPhkYkRVN",innalillahi imam masjid kaum semarang kh ahmad naqib noor pulang,,196.0,Normal
0,1.2934809671856783e+18,ddian_p,Wed Aug 12 09:34:28 +0000 2020,"@nimaaaas Semoga ya Mas..kalo bisa sih Jogja, tapi kepeksone Semarang gas lah nek wis aman. Pilihan terakhir nunggu digital downloadnya. Hadeehh vibesnya beda",moga ya mas sih yoyakarta kepeksone semarang gas nek aman pilih tunggu digital downloadnya aduh vibesnya beda,,0.0,"Abusive, HS_Other, HS"
0,1.29348085360393e+18,thedarksidessss,Wed Aug 12 09:34:01 +0000 2020,"@bucin_SINB_0603 WKWKWKWKWKWKWWK..
AKU NDEK SEMARANG. RENEO
aduh wetengku loro",wkwkwkwkwkwkwwk dik semarang reneo aduh wetengku loro,,0.0,Normal
0,1.2934807608217027e+18,yunussuryagiri,Wed Aug 12 09:33:39 +0000 2020,"@e100ss @jawapos @portalSURYA @detikSBY @infoPURWOKERTO @iniPurwokerto @sidoarjonews @infosda dicari terlibat penggelapan
Nama:Lulus Widagdo(wiwid)
Tgl lahir:28 april 1981 Semarang
Alamat ktp:Perumtas II blok P-1/44 kalisampurno tanggulangin Sidoarjo
#LulusWidagdo #wiwid #wiwit https://t.co/sPC98qz1z2",cari libat gelap nama lulus widagdo wiwid tanggal lahir april semarang alamat kartu tanda duduk perumtas ih blok p kalisampurno tanggulangin sidoarjo,LulusWidagdo; wiwid; wiwit; ,0.0,Normal
0,1.293480756497363e+18,CallMeee_Gaby,Wed Aug 12 09:33:38 +0000 2020,"💢Ready💌📍Area: Semarang💋🏧Tanpa DP (COD)😘Full Service💦🏨Include room🔞✔ Rate &amp; Rules 💕📲by dm📱
#ExpoSemarang 
#includesemarang #openbosemarang #openbosemarangcod #RealAngels #WPSemarang #bookingansemarang #semaranglendir #semarangbo #availSemarang #angelsemarang https://t.co/IYDlFksxA3",readyarea semarangtanpa uang muka cod full serviceinclude room rate rules by direct message,ExpoSemarang; includesemarang; openbosemarang; openbosemarangcod; RealAngels; WPSemarang; bookingansemarang; semaranglendir; semarangbo; availSemarang; angelsemarang; ,0.0,Normal
0,1.2934804908301394e+18,surabina1,Wed Aug 12 09:32:35 +0000 2020,"@SimpleM81378523 Dulu aku pas ngekos di Semarang, tiap malam jam 00.00 keatas disaat semua udah pada di kamar pasti selalu ada suara yg lari kenceng dengan kaki telanjang dari lantai 2.
Padahal semua udah pada tidur.
Dan itu terdengar jelas dari lantai 1.",pas ngekos semarang malam jam kamar suara lari kencang kaki telanjang lantai tidur dengar lantai,,0.0,Normal
0,1.2934802562974147e+18,ppsjetis2020,Wed Aug 12 09:31:39 +0000 2020,"#Latepost, 2 Agustus 2020, Rapat Koordinasi PPS dan PPDP dalam Penyusunan Daftar Pemilih Hasil Coklit pilbub Semarang Lanjutan Tahun 2020 @ Bandungan, Jawa Tengah, Indonesia https://t.co/ZPvaCyxZUn",agustus rapat koordinasi pps ppdp susun daftar pilih hasil coklit pilbub semarang bandung jawa indonesia,Latepost; ,0.0,Normal
0,1.2934800944138854e+18,nyenderpundak,Wed Aug 12 09:31:00 +0000 2020,@ernestprakasa aku mau aku mau. area semarang nih. instagram: sughoistudio https://t.co/Ubp6YOIrxX,area semarang nih instagram sughoistudio,,0.0,Normal
0,1.293480034041127e+18,take05fromm,Wed Aug 12 09:30:46 +0000 2020,"RT @ssizu2016: 松永祥兵選手新加入のお知らせ

この度、PSIS SEMARANGより松永祥兵選手がSS伊豆へ新加入することが決まりましたのでお知らせいたします。

1989年1月7日生まれ
三島市出身
170センチ64キロ
FW/MF

応援宜しくお願い致します…",psis semarang screenshoot fw maaf,,7.0,Normal
0,1.2934799780178084e+18,Summerswing2,Wed Aug 12 09:30:33 +0000 2020,@KokohBuncit Pakboi semarang iki wkwkwk,pakboi semarang wkwk,,0.0,Normal
